,Id,SalePrice
0,2658,132479.41158516888
1,2718,179670.93081790648
2,2414,213427.95263427336
3,1989,100975.98231661718
4,625,172857.56633902073
5,333,79491.40035942094
6,1327,86551.5410936501
7,858,135488.29424257413
8,95,195376.5430762309
9,1568,152742.37940283437
10,2482,157703.32937822657
11,1364,110529.5019968503
12,2584,140864.16803868217
13,818,250515.9427846028
14,2673,159806.57897646725
15,2089,113516.16522377153
16,1297,150506.9739749179
17,790,113296.92277146425
18,2616,188156.00566885603
19,720,200222.73326636828
20,222,142835.43543298612
21,557,135847.06444983176
22,1148,192653.32087218127
23,2766,173850.79370841358
24,534,181656.28795887184
25,1452,103403.72294972287
26,630,139920.88550121288
27,2648,144393.0477814975
28,125,172320.11645347605
29,1904,44717.40814406483
30,1670,93777.39166308369
31,756,88460.02541520628
32,717,237454.79812124043
33,1032,158468.80105409812
34,852,208060.69673404662
35,1731,170856.2690615206
36,2639,111450.93844737223
37,2071,74433.63138172118
38,1267,122952.04851231568
39,1851,211439.47916333145
40,567,168656.47906314887
41,2439,209846.0060705348
42,1898,151093.24211755613
43,647,163298.50570881972
44,2256,238340.25448337125
45,979,82543.42616063023
46,1444,222460.4177890984
47,2485,113844.92648369227
48,157,109606.67532612424
49,88,121901.16956050617
50,2003,105680.89723050052
51,186,209621.97857345108
52,1425,240241.2811173793
53,2695,117306.00953092179
54,738,113316.43611116258
55,395,141745.33455998215
56,1353,184808.2393272016
57,1878,141711.7743627253
58,390,152272.63811183127
59,1456,237072.45593067212
60,1103,343073.8181589049
61,1387,169955.48644573276
62,2070,140624.75014993467
63,1199,167292.53878902193
64,2479,181496.78396388315
65,501,314825.2314491287
66,2362,82251.3129136149
67,1718,244501.8325045769
68,2188,67461.26337273917
69,1483,162355.18009059472
70,2557,89078.92256594588
71,437,360064.12571572827
72,2224,204859.34225674497
73,1628,167732.48538897256
74,397,122829.08453986363
75,587,202018.90326569823
76,971,136373.55145785995
77,2611,149743.62911796628
78,1887,83907.26247743225
79,2399,378026.30838551687
80,2148,198573.62168079667
81,304,116261.295000319
82,1997,131708.21803150047
83,2817,116646.48261200913
84,1431,204217.03473241135
85,427,337040.45324733655
86,263,113529.59057121773
87,598,188997.91606450125
88,2895,237740.92441698097
89,687,143472.29805236013
90,1822,130523.54180159394
91,2191,104050.94214061539
92,179,106342.42021048564
93,1009,253140.31976782103
94,2010,115682.2857604895
95,1991,138132.60678057297
96,1411,178904.08122010587
97,1721,245764.2786109874
98,1144,192704.90742127574
99,593,218877.3445280624
100,575,310007.0374014544
101,1249,176515.771522398
102,1604,110210.4179009048
103,1064,453127.57716294844
104,1923,163567.31689097788
105,1988,88158.48573893325
106,2325,167908.83557417933
107,114,202449.19893430494
108,2700,201394.48515556706
109,217,142025.17818771902
110,343,184734.2070827872
111,386,232880.1347469124
112,2005,112796.45472017219
113,2908,126657.43553778007
114,1814,253607.68646756682
115,2446,486323.3091257814
116,208,149218.47293578926
117,1679,98896.01687497225
118,822,322422.08938667143
119,6,186635.89946559095
120,1781,399921.34258772177
121,2397,313293.9493812425
122,2340,328662.6712057808
123,1618,165858.53000408123
124,2843,161938.56171209272
125,1061,382318.55440173275
126,2786,108976.63787017448
127,1935,127913.46086975417
128,1341,102092.04488458385
129,521,261145.52829604674
130,2136,128484.76361210796
131,996,200708.3105125291
132,227,140019.00398698068
133,135,178819.58725369457
134,1167,157452.46966989757
135,294,236055.83011256333
136,1776,205336.19572102648
137,540,178713.98148723587
138,1717,240750.19015815557
139,2303,111717.66390654187
140,116,177505.9967107608
141,127,129550.23942528325
142,1371,122846.49984883815
143,1014,188201.814104418
144,1507,84584.23322694223
145,702,143157.76431333282
146,750,151510.77429032593
147,261,138318.49118530875
148,1559,73841.84019014782
149,577,230956.60327591898
150,2812,199373.8695247432
151,2080,165335.69323769468
152,1368,104692.08919780815
153,2376,125498.37736661929
154,659,116758.25341427464
155,1235,123466.0261480829
156,332,71573.94051438692
157,1917,142996.20104046492
158,2094,237519.32794377656
159,1460,257690.58105186754
160,1471,222328.94372655483
161,1509,115269.75898663934
162,1922,117408.50421785827
